#Coverage	Number of genomic locations
0.0	2.498383656E9
1.0	417059.0
2.0	1620306.0
3.0	54205.0
4.0	528895.0
5.0	34160.0
6.0	304915.0
7.0	22969.0
8.0	191554.0
9.0	16312.0
10.0	117705.0
11.0	10389.0
12.0	71154.0
13.0	6801.0
14.0	40691.0
15.0	5078.0
16.0	22554.0
17.0	3009.0
18.0	12647.0
19.0	1776.0
20.0	7121.0
21.0	1338.0
22.0	4270.0
23.0	962.0
24.0	2603.0
25.0	771.0
26.0	2075.0
27.0	741.0
28.0	1442.0
29.0	497.0
30.0	1063.0
31.0	523.0
32.0	905.0
33.0	559.0
34.0	709.0
35.0	346.0
36.0	636.0
37.0	255.0
38.0	485.0
39.0	268.0
40.0	379.0
41.0	336.0
42.0	415.0
43.0	143.0
44.0	248.0
45.0	187.0
46.0	189.0
47.0	110.0
48.0	242.0
49.0	135.0
50.0	231.0
51.0	225.0
52.0	250.0
53.0	126.0
54.0	161.0
55.0	114.0
56.0	159.0
57.0	169.0
58.0	106.0
59.0	154.0
60.0	88.0
61.0	101.0
62.0	175.0
63.0	190.0
64.0	72.0
65.0	104.0
66.0	150.0
67.0	124.0
68.0	162.0
69.0	76.0
70.0	143.0
71.0	72.0
72.0	126.0
73.0	91.0
74.0	164.0
75.0	65.0
76.0	128.0
77.0	71.0
78.0	45.0
79.0	65.0
80.0	74.0
81.0	77.0
82.0	125.0
83.0	33.0
84.0	111.0
85.0	68.0
86.0	86.0
87.0	101.0
88.0	67.0
89.0	91.0
90.0	53.0
91.0	100.0
92.0	28.0
93.0	39.0
94.0	73.0
95.0	28.0
96.0	75.0
97.0	46.0
98.0	86.0
99.0	51.0
100.0	44.0
101.0	65.0
102.0	79.0
103.0	40.0
104.0	69.0
105.0	63.0
106.0	51.0
107.0	72.0
108.0	48.0
109.0	39.0
110.0	60.0
111.0	21.0
112.0	51.0
113.0	66.0
114.0	53.0
115.0	32.0
116.0	59.0
117.0	55.0
118.0	57.0
119.0	45.0
120.0	58.0
121.0	18.0
122.0	47.0
123.0	35.0
124.0	60.0
125.0	16.0
126.0	83.0
127.0	39.0
128.0	87.0
129.0	20.0
130.0	65.0
131.0	18.0
132.0	51.0
133.0	20.0
134.0	84.0
135.0	56.0
136.0	47.0
137.0	53.0
138.0	50.0
139.0	33.0
140.0	31.0
141.0	30.0
142.0	23.0
143.0	40.0
144.0	34.0
145.0	13.0
146.0	24.0
147.0	38.0
148.0	15.0
149.0	29.0
150.0	18.0
151.0	15.0
152.0	23.0
153.0	16.0
154.0	13.0
155.0	33.0
156.0	17.0
157.0	14.0
158.0	17.0
159.0	32.0
160.0	36.0
161.0	49.0
162.0	20.0
163.0	74.0
164.0	25.0
165.0	22.0
166.0	61.0
167.0	22.0
168.0	16.0
169.0	39.0
170.0	14.0
171.0	27.0
172.0	30.0
173.0	25.0
174.0	68.0
175.0	14.0
176.0	28.0
177.0	48.0
178.0	29.0
179.0	25.0
180.0	38.0
181.0	18.0
182.0	22.0
183.0	19.0
184.0	27.0
185.0	12.0
186.0	33.0
187.0	18.0
188.0	16.0
189.0	12.0
190.0	26.0
191.0	17.0
192.0	12.0
193.0	14.0
194.0	26.0
195.0	40.0
196.0	53.0
197.0	13.0
198.0	20.0
199.0	22.0
200.0	16.0
201.0	45.0
202.0	20.0
203.0	18.0
204.0	10.0
205.0	13.0
206.0	41.0
207.0	27.0
208.0	6.0
209.0	13.0
210.0	19.0
211.0	37.0
212.0	13.0
213.0	8.0
214.0	65.0
215.0	7.0
216.0	26.0
217.0	11.0
218.0	20.0
219.0	15.0
220.0	27.0
