#Duplication rate	Coverage
1.0	32699.0
2.0	86351.0
3.0	4631.0
4.0	26449.0
5.0	3048.0
6.0	14679.0
7.0	2141.0
8.0	8951.0
9.0	1510.0
10.0	5377.0
11.0	1040.0
12.0	3010.0
13.0	640.0
14.0	1740.0
15.0	433.0
16.0	883.0
17.0	271.0
18.0	483.0
19.0	175.0
20.0	281.0
21.0	134.0
22.0	185.0
23.0	104.0
24.0	115.0
25.0	85.0
26.0	102.0
27.0	73.0
28.0	68.0
29.0	55.0
30.0	62.0
31.0	66.0
32.0	65.0
33.0	47.0
34.0	65.0
35.0	32.0
36.0	56.0
37.0	33.0
38.0	37.0
39.0	36.0
40.0	38.0
41.0	30.0
42.0	28.0
43.0	36.0
44.0	34.0
45.0	22.0
46.0	23.0
47.0	23.0
48.0	21.0
49.0	20.0
50.0	1117.0
