#Coverage (X)	Coverage
1.0	0.14104138965556956
2.0	0.12437178115926883
3.0	0.05960908172296797
4.0	0.057442539031072215
5.0	0.03630290990030005
6.0	0.03493755433613899
7.0	0.02275027705726984
8.0	0.021832219330306657
9.0	0.01417591605930113
10.0	0.013523934795756531
11.0	0.0088193336049045
12.0	0.00840409124670316
13.0	0.005560106767418915
14.0	0.00528827470677129
15.0	0.003661878826761722
16.0	0.003458914085697984
17.0	0.0025574436701845116
18.0	0.0024371756698116087
19.0	0.0019316823495501012
20.0	0.0018606966504250977
21.0	0.0015760743737160965
22.0	0.001522595282821726
23.0	0.0013519258372980403
24.0	0.0013134752502708125
25.0	0.0012094348365252472
26.0	0.0011786184097104524
27.0	0.0010956818524618939
28.0	0.001066064508407294
29.0	0.0010084285973022133
30.0	9.885637929869517E-4
31.0	9.460762940136647E-4
32.0	9.251722846386201E-4
33.0	8.889999548529204E-4
34.0	8.666570461741685E-4
35.0	8.38318723722864E-4
36.0	8.244893026159161E-4
37.0	7.990687482077874E-4
38.0	7.888765447887636E-4
39.0	7.694913735747377E-4
40.0	7.587795676329279E-4
41.0	7.436311554869235E-4
42.0	7.302014286239E-4
43.0	7.136141171741883E-4
44.0	7.078984893666984E-4
45.0	6.979860719269482E-4
46.0	6.905117894149271E-4
47.0	6.829575680598055E-4
48.0	6.785609312913721E-4
49.0	6.688883303951343E-4
50.0	6.634924580026791E-4
51.0	6.542595207861268E-4
