#Mapping quality	mapping quality
0.0	909754.0
1.0	31233.0
2.0	17079.0
3.0	35268.0
4.0	18415.0
5.0	13483.0
6.0	53406.0
7.0	25968.0
8.0	12896.0
9.0	51186.0
10.0	20215.0
11.0	15455.0
12.0	44423.0
13.0	37339.0
14.0	10511.0
15.0	38251.0
16.0	18651.0
17.0	11819.0
18.0	50383.0
19.0	21112.0
20.0	88834.0
21.0	26970.0
22.0	14002.0
23.0	15052.0
24.0	26100.0
25.0	16379.0
26.0	72833.0
27.0	31301.0
28.0	14976.0
29.0	38291.0
30.0	48683.0
31.0	16500.0
32.0	56243.0
33.0	30602.0
34.0	31458.0
35.0	25800.0
36.0	31251.0
37.0	16235.0
38.0	18840.0
39.0	18836.0
40.0	940878.0
41.0	20817.0
42.0	28346.0
43.0	31855.0
44.0	25811.0
45.0	27451.0
46.0	214138.0
47.0	8995.0
48.0	7722.0
49.0	11699.0
50.0	11032.0
51.0	7573.0
52.0	50763.0
53.0	3753.0
54.0	3513.0
55.0	5141.0
56.0	3784.0
57.0	3436.0
58.0	16630.0
59.0	2240.0
60.0	27122.0
